              v.test Mean.in.category Overall.mean sd.in.category Overall.sd     p.value
aermr02_kg  2.784082        0.1346700   0.07444765    0.013417879 0.04005274 0.005367940
TOW_freque  2.637531        0.5288633   0.29530412    0.050299544 0.16396687 0.008351209
temperatur -2.566586        0.7753700   0.85719588    0.007059688 0.05903254 0.010270519
uvb_jm2_43 -2.830189        0.3636033   0.56486765    0.033979418 0.13167639 0.004652050
