fid,X,Y,CITY_NAME,CNTRY_NAME,POP,POP_RANK,max_dtw
"1693","-12.0439976854116","8.88100203366741",Makeni,Sierra Leone,"124634","5","0.43711"
"1694","-13.2389997025373","8.48600097917455",Freetown,Sierra Leone,"1055964","2","0.46429"
"1695","-12.4010007130801","11.0799990367117",Pita,Guinea,"0","0","0.48817"
"1696","-12.2720037185934","10.6559999496758",Dalaba,Guinea,"0","0","0.473"
"1697","-12.0920036674846","10.3740030524078",Mamou,Guinea,"0","0","0.48214"
"1698","-17.0667356956602","20.9000520584612",Nouadhibou,Mauritania,"118167","5","0.51968"
"1699","-13.0499996571473","20.5109999760277",Atar,Mauritania,"0","0","0.80154"
"1700","-14.3909996324724","19.7469989905198",Akjoujt,Mauritania,"0","0","0.79386"
"1701","-11.4309987184694","18.55800005861",Tidjikdja,Mauritania,"0","0","0.78784"
"1702","-13.9089957097161","17.0579969298042",Aleg,Mauritania,"0","0","0.74988"
"1703","-16.9239956142565","14.8049999610724",Thies,Senegal,"618436","3","0.50225"
"1704","-17.4519986987523","14.6870010105662",Dakar,Senegal,"150257","5",
"1705","-15.9779966934242","18.0839969398018",Nouakchott,Mauritania,"958399","3","0.72746"
"1706","-16.0832965934181","15.7500000225385",Louga,Senegal,"0","0","0.54186"
"1707","-15.7989956671651","16.5120029583471",Rosso,Mauritania,"0","0","0.73365"
"1708","-16.2978387106155","15.9512129274504",Saint Louis,Senegal,"277245","4","0.48469"
"1709","-16.2340015688156","14.6529989176571",Diourbel,Senegal,"279667","4","0.5148"
"1710","-16.4159996696238","14.3440020375453",Fatick,Senegal,"0","0","0.52785"
"1711","-16.0959956439302","14.1429959872074",Kaolack,Senegal,"410577","4","0.52486"
"1712","-16.0949966190805","13.4939970431401",Kerewan,The Gambia,"0","0","0.48071"
"1713","-16.596791560041","13.463954974192",Banjul,The Gambia,"0","0",
"1714","-16.588997610667","13.454999991466",Bathurst,The Gambia,"0","0",
"1715","-15.6785665891259","13.3773120328871",Mansa Konko,The Gambia,"0","0","0.49952"
"1716","-16.6529965954855","13.278996039756",Brikama,The Gambia,"0","0","0.42015"
"1717","-16.2839966644704","12.580002000034",Ziguinchor,Senegal,"337295","4","0.4299"
"1718","-16.1649986891147","12.2689979686216",Cacheu,Guinea-Bissau,"0","0","0.43592"
"1719","-15.4860026876546","11.5830000225796",Bolama,Guinea-Bissau,"0","0","0.50096"
"1720","-15.5979987184284","11.8639980604815",Bissau,Guinea-Bissau,"0","0",
"1721","-14.767001673553","13.5510030194942",Georgetown,The Gambia,"0","0","0.5225"
"1722","-14.222996650194","13.3100010581162",Basse Santa Su,The Gambia,"0","0","0.49769"
"1723","-14.943995713995","12.8999969241264",Kolda,Senegal,"0","0","0.46038"
"1724","-15.2270005722303","12.492998966287",Farim,Guinea-Bissau,"0","0","0.46793"
"1725","-14.2340036302923","12.2799960126022",Gabu,Guinea-Bissau,"0","0","0.51472"
"1726","-14.6899976589368","12.1679999818284",Bafata,Guinea-Bissau,"0","0","0.50418"
"1727","-15.1949966945041","11.7729989273356",Fulacunda,Guinea-Bissau,"0","0","0.49258"
"1728","-13.6780017035866","13.7729970313427",Tambacounda,Senegal,"0","0","0.51142"
"1729","-13.2959965772903","12.4800030380904",Koundara,Guinea,"0","0","0.46424"
"1730","-12.3010015856528","12.0840029587481",Mali,Guinea,"0","0","0.54419"
"1731","-13.2129985790596","11.7540000794071",Gaoual,Guinea,"0","0","0.53256"
"1732","-11.6700026301481","11.4399989734455",Tongue,Guinea,"0","0","0.47863"
"1733","-12.2990037014372","11.3229990477893",Labe,Guinea,"0","0","0.50084"
"1734","-9.61700358530328","16.6609979910956",Ayoun El Atrous,Mauritania,"0","0","0.74021"
"1735","-7.26100164396127","16.6159980196894",Nema,Mauritania,"0","0","0.7276"
"1736","-6.25499967222561","13.4360009780537",Segou,Mali,"0","0","0.56171"
"1737","-7.98648266718402","12.6529559675785",Bamako,Mali,"2998000","2","0.43153"
"1738","-9.17900060910358","11.4190020758175",Siguiri,Guinea,"127492","5","0.46182"
"1739","-5.67299662204221","11.3149980783577",Sikasso,Mali,"0","0","0.4361"
"1740","-10.7260015935315","11.2989959740109",Dinguiraye,Guinea,"0","0","0.47404"
"1741","-3.00999568480427","16.7599979281894",Timbuktu,Mali,"0","0","0.73966"
"1742","-0.051002566284751","16.2729990466684",Gao,Mali,"0","0","0.72689"
"1743","-4.18300161396854","14.482998051163",Mopti,Mali,"0","0","0.65842"
"1744","-0.233297710260956","14.450003919221",Gorom Gorom,Burkina Faso,"0","0","0.62709"
