lattitude,longitude
29.854837,-95.473686
31.2581,121.6141
31.3445,120.4915
31.034702,121.275147
34.934912,128.598001
54.956952,-1.558534
26.246104,49.977817
25.4595,-80.4998
25.866667,-80.45
33.9,-112.133333
43.133333,5.816667
50.255389,-4.214389
43.487528,-3.8295
54.902333,-1.357583
13.11605,77.824323
-37.770229,144.829227
-27.604014,153.002489
